Time Interval	Close	Net Change	Open	High	Low	Tick Count	Volume
Summary (04/01/26 12:00:00am)	255.63	1.84	254.08	256.18	253.33	95248	24,788,143
18:30 - 18:31	254.19	0.4	254.08	256.18	254	1527	776,409
18:31 - 18:32	253.954	-0.236	254.08	254.46	253.82	467	88,799
18:32 - 18:33	254.84	0.886	254.01	254.84	253.84	600	108,718
18:33 - 18:34	254.85	0.01	254.81	254.85	254.47	687	133,370
18:34 - 18:35	254.825	-0.025	254.79	254.96	254.62	393	66,448
18:35 - 18:36	254.88	0.055	254.8	255.07	254.75	556	90,803
18:36 - 18:37	254.97	0.09	254.89	255.07	254.79	533	83,084
18:37 - 18:38	255.2	0.23	254.98	255.32	254.69	592	91,393
18:38 - 18:39	254.88	-0.32	255.1899	255.26	254.85	401	66,569
18:39 - 18:40	255.05	0.17	254.83	255.1	254.67	481	81,217
18:40 - 18:41	255.3125	0.2625	255.07	255.44	255.03	650	104,528
18:41 - 18:42	255.39	0.0775	255.32	255.58	255.22	451	94,484
18:42 - 18:43	255.01	-0.38	255.44	255.58	254.94	612	98,288
18:43 - 18:44	255.11	0.1	254.95	255.215	254.69	503	75,109
18:44 - 18:45	255.54	0.43	255.09	255.58	255.09	501	88,077
18:45 - 18:46	255.605	0.065	255.535	255.82	255.37	566	94,368
18:46 - 18:47	255.55	-0.055	255.62	255.66	255.45	552	85,025
18:47 - 18:48	255.21	-0.34	255.51	255.56	255.17	303	47,368
18:48 - 18:49	255.45	0.24	255.25	255.645	255.2	570	88,989
18:49 - 18:50	255.46	0.01	255.46	255.55	255.32	401	57,228
18:50 - 18:51	255.3399	-0.1201	255.46	255.46	255.09	317	49,675
18:51 - 18:52	255.11	-0.2299	255.33	255.46	255.05	284	46,304
18:52 - 18:53	254.865	-0.245	255.115	255.115	254.69	328	62,821
18:53 - 18:54	254.72	-0.145	254.865	254.95	254.57	245	49,534
18:54 - 18:55	254.525	-0.195	254.71	254.84	254.49	212	38,751
18:55 - 18:56	254.945	0.42	254.54	254.98	254.49	340	57,792
18:56 - 18:57	254.66	-0.285	254.95	254.97	254.62	196	34,706
18:57 - 18:58	254.83	0.17	254.7	255	254.641	266	37,611
18:58 - 18:59	254.93	0.1	254.81	255	254.75	267	38,078
18:59 - 19:00	254.61	-0.32	254.925	254.95	254.58	253	50,639
19:00 - 19:01	254.57	-0.04	254.6193	254.6505	254.3345	315	60,225
19:01 - 19:02	254.77	0.2	254.55	254.95	254.5301	331	64,639
19:02 - 19:03	254.81	0.04	254.7475	254.8605	254.62	196	37,804
19:03 - 19:04	254.49	-0.32	254.84	254.97	254.48	247	41,180
19:04 - 19:05	254.68	0.19	254.5	254.69	254.48	384	77,282
19:05 - 19:06	254.84	0.16	254.7	254.86	254.65	249	58,045
19:06 - 19:07	254.72	-0.12	254.82	254.83	254.54	212	38,092
19:07 - 19:08	254.98	0.26	254.73	255.155	254.73	698	171,729
19:08 - 19:09	254.94	-0.04	254.93	255.11	254.85	512	73,944
19:09 - 19:10	254.83	-0.11	254.92	255.01	254.775	232	38,401
19:10 - 19:11	254.71	-0.12	254.82	254.895	254.435	367	59,364
19:11 - 19:12	254.34	-0.37	254.7283	254.7283	254.21	697	101,409
19:12 - 19:13	254.33	-0.01	254.32	254.59	254.17	518	97,779
19:13 - 19:14	254.09	-0.24	254.34	254.3688	254.05	294	54,649
19:14 - 19:15	254.28	0.19	254.09	254.335	253.97	618	151,956
19:15 - 19:16	254.215	-0.065	254.285	254.59	254.15	379	80,716
19:16 - 19:17	254.09	-0.125	254.215	254.215	253.88	333	66,693
19:17 - 19:18	254.19	0.1	254.12	254.19	254.06	284	58,181
19:18 - 19:19	254.65	0.46	254.165	254.65	254.165	285	51,719
19:19 - 19:20	255.02	0.37	254.665	255.03	254.5699	264	53,736
19:20 - 19:21	254.98	-0.04	255	255.07	254.77	260	42,199
19:21 - 19:22	254.68	-0.3	255	255.08	254.575	453	98,597
19:22 - 19:23	254.78	0.1	254.7	254.85	254.62	330	66,315
19:23 - 19:24	254.83	0.05	254.76	254.83	254.61	205	36,153
19:24 - 19:25	254.48	-0.35	254.81	254.855	254.33	255	41,517
19:25 - 19:26	254.51	0.03	254.46	254.54	254.35	131	24,489
19:26 - 19:27	254.18	-0.33	254.47	254.47	254.18	181	28,383
19:27 - 19:28	254.17	-0.01	254.19	254.3	254.12	212	30,194
19:28 - 19:29	254.07	-0.1	254.14	254.2	254.03	231	41,383
19:29 - 19:30	254.21	0.14	254.06	254.21	254.05	229	42,596
19:30 - 19:31	254.045	-0.165	254.185	254.21	253.92	295	54,357
19:31 - 19:32	254.22	0.175	254.04	254.2999	253.99	193	34,545
19:32 - 19:33	253.93	-0.29	254.2	254.23	253.91	248	46,215
19:33 - 19:34	253.649	-0.281	253.925	253.96	253.6159	473	109,765
19:34 - 19:35	253.45	-0.199	253.645	253.73	253.425	471	103,191
19:35 - 19:36	253.42	-0.03	253.455	253.54	253.33	277	55,945
19:36 - 19:37	253.45	0.03	253.435	253.519	253.33	420	78,421
19:37 - 19:38	253.49	0.04	253.46	253.55	253.35	212	46,238
19:38 - 19:39	253.7299	0.2399	253.49	253.8	253.49	338	67,773
19:39 - 19:40	254.13	0.4001	253.705	254.37	253.7	593	114,696
19:40 - 19:41	253.87	-0.26	254.12	254.14	253.6801	349	62,902
19:41 - 19:42	254.075	0.205	253.87	254.11	253.74	298	58,431
19:42 - 19:43	254.2299	0.1549	254.09	254.38	254.04	282	46,118
19:43 - 19:44	254.15	-0.0799	254.17	254.3	254.05	219	35,890
19:44 - 19:45	254.175	0.025	254.14	254.255	254.06	173	28,960
19:45 - 19:46	254.17	-0.005	254.19	254.33	253.98	158	30,998
19:46 - 19:47	254.085	-0.085	254.12	254.22	253.94	351	68,926
19:47 - 19:48	254.08	-0.005	254.08	254.12	253.87	172	34,459
19:48 - 19:49	254.04	-0.04	254.09	254.14	253.99	133	20,618
19:49 - 19:50	254.12	0.08	254.03	254.255	253.99	226	35,707
19:50 - 19:51	254.085	-0.035	254.12	254.185	254.04	157	21,812
19:51 - 19:52	254.1301	0.0451	254.06	254.22	253.95	230	39,818
19:52 - 19:53	254.22	0.0899	254.15	254.33	254.14	227	35,949
19:53 - 19:54	254.33	0.11	254.23	254.39	254.21	187	32,850
19:54 - 19:55	254.24	-0.09	254.32	254.4	254.22	205	50,668
19:55 - 19:56	254.2	-0.04	254.25	254.325	254.16	265	44,848
19:56 - 19:57	254.25	0.05	254.21	254.3	254.14	167	30,893
19:57 - 19:58	254.245	-0.005	254.2699	254.3	254.14	265	53,244
19:58 - 19:59	254.26	0.015	254.23	254.37	254.2204	131	24,010
19:59 - 20:00	254.1	-0.16	254.26	254.27	254.01	190	33,554
20:00 - 20:01	254.23	0.13	254.085	254.255	254.06	165	23,717
20:01 - 20:02	254.19	-0.04	254.222	254.27	254.16	180	25,834
20:02 - 20:03	254.22	0.03	254.1899	254.3143	254.17	152	25,834
20:03 - 20:04	254.175	-0.045	254.24	254.325	254.137	200	34,167
20:04 - 20:05	254.19	0.015	254.19	254.305	254.18	155	25,742
20:05 - 20:06	254.22	0.03	254.21	254.25	254.11	163	27,105
20:06 - 20:07	254.11	-0.11	254.23	254.31	254.03	249	42,666
20:07 - 20:08	254.1646	0.0546	254.105	254.22	254.05	158	29,956
20:08 - 20:09	254.1506	-0.014	254.17	254.2	254.04	186	37,657
20:09 - 20:10	254.15	-0.0006	254.1706	254.2	254.08	140	27,271
20:10 - 20:11	253.82	-0.33	254.12	254.16	253.82	240	47,602
20:11 - 20:12	254	0.18	253.81	254.1	253.7973	448	68,380
20:12 - 20:13	254.185	0.185	254	254.22	253.995	161	26,181
20:13 - 20:14	254.07	-0.115	254.18	254.22	254.07	114	21,574
20:14 - 20:15	254.17	0.1	254.07	254.22	254.14	147	24,820
20:15 - 20:16	254.205	0.035	254.15	254.32	254.14	198	41,109
